Town,Funeral Home,Main URL,Notes
Middlefield,Rose Hill Funeral Home (Rocky Hill),https://www.rosehillfuneralhomect.com/obituaries/obituary-listings,"No Funeral Home in Town; 403s to curl/WebFetch, not yet retried via browser, see skills/death-notices.md"
Middlefield,Doolittle Funeral Service (Middletown),https://www.doolittlefuneralservice.com/listings,No Funeral Home in Town
Middlefield,John J. Ferry & Sons Funeral Home (Meriden),https://www.jferryfh.com/obituaries/obituary-listings,No Funeral Home in Town
Middletown,Biega Funeral Home,https://www.biegafuneralhome.com/obituaries/,
Middletown,Doolittle Funeral Service,https://www.doolittlefuneralservice.com/listings,
East Hampton,Spencer Funeral Home,https://www.spencerfuneralhomeinc.com/listings,"In-site Word search for the town name actually filters correctly here (rare among sources in this file); confirmed 2026-09-08, see skills/death-notices.md"
East Hampton,Abbey Cremation Service (Rocky Hill),https://www.abbeycremation.com/obituaries,"Neighboring-town source; confirmed one East Hampton match found 2026-09-08 (Kenneth 'Ken' Fox), found via WebSearch, see skills/death-notices.md"
Portland,Portland Memorial Funeral Home,https://portlandmemorialfuneralhome.com/,
Portland,Doolittle Funeral Service / Cromwell Funeral Home,https://www.doolittlefuneralservice.com/listings,"Neighboring-town (Middletown/Cromwell) source; in-site Word search genuinely filters by town, confirmed several current Portland matches 2026-09-08, see skills/death-notices.md"
Chester,Swan Funeral Homes (Deep River),https://www.legacy.com/funeral-homes/connecticut/deep-river/swan-funeral-homes-inc/fh-4189,"No Funeral Home in Town; URL 404s as of 2026-08-18, see skills/death-notices.md"
Chester,"Robinson Wright & Weymer Funeral Home (Centerbrook/Essex, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=3477,No Funeral Home in Town
Essex,Robinson Wright & Weymer Funeral Home,https://www.dignitymemorial.com/obituaries?locationcode=3477,
Deep River,Swan Funeral Homes,https://www.legacy.com/funeral-homes/connecticut/deep-river/swan-funeral-homes-inc/fh-4189,"URL 404s as of 2026-08-18 - page deleted/suspended, see skills/death-notices.md"
Deep River,"Robinson Wright & Weymer Funeral Home (Centerbrook/Essex, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=3477,"CSV gap fix: already tracked for Chester/Haddam/Killingworth/Essex but never for Deep River, despite confirmed current Deep River matches; No Funeral Home in Town; see skills/death-notices.md"
Ledyard,Dinoto Funeral Home (Mystic),https://www.dinotofuneral.com/Obituaries.htm,No Funeral Home in Town
Montville,Woyasz & Son Funeral Service,https://www.woyaszandson.com/obituaries/obituary-listings,
Montville,"Montville Funeral Home of Church & Allen (Uncasville, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=2080,
Montville,"Church & Allen Funeral Service (Norwich, Dignity Memorial, different location/locationcode than the Uncasville branch)",https://www.dignitymemorial.com/obituaries?locationcode=2085,"Neighboring-town (Norwich) source; checked full 50-entry batch 2026-09-08, one Oakdale (=Montville) match found but too thin for a notice (John Przybyl -- name/age/date only), see skills/death-notices.md"
Newington,Duksa Family Funeral Homes at Newington Memorial,https://www.newingtonmemorial.com/obituaries/obituary-listings,
Newington,Abbey Cremation Service (Rocky Hill),https://www.abbeycremation.com/obituaries,"Confirmed one Newington match found 2026-09-08 (Carol Ann Young), found via WebSearch, see skills/death-notices.md"
Norwich,Church & Allen Funeral Service (Dignity Memorial),https://www.dignitymemorial.com/obituaries?locationcode=2085,
Norwich,Labenski Funeral Home (Dignity Memorial),https://www.dignitymemorial.com/obituaries?locationcode=5089,
Norwich,Cummings-Gagne Funeral Home,https://www.cummings-gagnefh.com/,
Norwich,Woyasz & Son Funeral Service,https://www.woyaszandson.com/obituaries/obituary-listings,"Already tracked for Montville, but has a dedicated Norwich branch and its listing is actually Norwich-heavy; confirmed three current Norwich matches 2026-09-08, see skills/death-notices.md"
Rocky Hill,Rose Hill Funeral Home,https://www.rosehillfuneralhomect.com/obituaries/obituary-listings,
Rocky Hill,Brooklawn Funeral Home,https://www.brooklawnfuneralhome.com/obituaries,"Confirmed highly productive 2026-09-08 -- six current Rocky Hill matches in one batch, see skills/death-notices.md"
Rocky Hill,Doolittle Funeral Service / Cromwell Funeral Home,https://www.doolittlefuneralservice.com/listings,"Neighboring-town (Middletown/Cromwell) source, already tracked for Portland/Durham/Middlefield; confirmed one current Rocky Hill match 2026-09-08 (Gray Wade Abbott), see skills/death-notices.md"
Haddam,"Robinson Wright & Weymer Funeral Home (Centerbrook/Essex, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=3477,No Funeral Home in Town
Haddam,Biega Funeral Home (Middletown),https://www.biegafuneralhome.com/obituaries/,No Funeral Home in Town
Haddam,Doolittle Funeral Service (Middletown),https://www.doolittlefuneralservice.com/listings,"CSV gap fix: already tracked for Durham/Middlefield/Portland/Rocky Hill but never for Haddam; confirmed two current Haddam matches 2026-09-08 (one via the Higganum village-name rule), see skills/death-notices.md"
East Haddam,"Robinson Wright & Weymer Funeral Home (Centerbrook/Essex, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=3477,No Funeral Home in Town
East Haddam,Biega Funeral Home (Middletown),https://www.biegafuneralhome.com/obituaries/,No Funeral Home in Town
East Haddam,Spencer Funeral Home (East Hampton),https://www.spencerfuneralhomeinc.com/listings,"No Funeral Home in Town; confirmed productive 2026-09-08 -- two current East Haddam matches (one via the Moodus village-name rule), see skills/death-notices.md"
East Haddam,Aurora-McCarthy Funeral Home (Colchester),https://www.auroramccarthyfuneralhome.com/listings,No Funeral Home in Town
Killingworth,"Robinson Wright & Weymer Funeral Home (Centerbrook/Essex, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=3477,No Funeral Home in Town
Killingworth,Biega Funeral Home (Middletown),https://www.biegafuneralhome.com/obituaries/,No Funeral Home in Town
Wethersfield,Dillon-Baxter Funeral Home,https://www.dillonbaxter.com/obituaries,
Wethersfield,Farley-Sullivan Funeral Home,https://www.farleysullivan.com/obituaries/obituary-listings,"Confirmed empty shell as of 2026-09-08 -- Tribute Technology rendering issue, not resolved via longer wait, see skills/death-notices.md"
Wethersfield,Brooklawn Funeral Home (Rocky Hill),https://www.brooklawnfuneralhome.com/obituaries,"CSV gap fix: already tracked for Rocky Hill but never for Wethersfield; confirmed one current Wethersfield match 2026-09-08 (Richard 'Snooky' Dalfino Jr.), see skills/death-notices.md"
Wethersfield,Abbey Cremation Service (Rocky Hill),https://www.abbeycremation.com/obituaries,"CSV gap fix: already tracked for Newington/East Hampton but never for Wethersfield; confirmed one current Wethersfield match 2026-09-08 (Margarita Matias Sanchez), see skills/death-notices.md"
Woodbury,Munson-Lovetere Funeral Home,https://www.munsonloveterefuneralhome.com/obituaries,
Middlebury,Brookside Memorial - The Albini Family Funeral Home,https://www.brooksidememorial.com/obituaries,"Confirmed empty shell as of 2026-09-08 -- Tribute Technology rendering issue, not yet resolved via longer wait or the View All Obituaries button, see skills/death-notices.md"
Middlebury,Munson-Lovetere Funeral Home (Woodbury/Southbury),https://www.munsonloveterefuneralhome.com/obituaries,"CSV gap fix: already tracked for Woodbury/Southbury but never for Middlebury; confirmed two Middlebury matches 2026-09-08 (Bruce Alan Meier, Ryan J. Anderson), see skills/death-notices.md"
South Windsor,Samsel & Carmon Funeral Home,https://www.carmonfuneralhome.com/obituaries/obituary-listings,"Confirmed productive 2026-09-10 (Diane (Procopio) Deming, 'of South Windsor, Connecticut'); use the site's Location filter to isolate South Windsor. See skills/death-notices.md"
South Windsor,D'Esopo East Hartford Memorial Chapel (Dignity Memorial),https://www.dignitymemorial.com/obituaries/east-hartford-ct,"No Funeral Home in Town; also tracked for Glastonbury; confirmed one current South Windsor match 2026-09-10 (Mary Taylor), see skills/death-notices.md"
Windsor,Carmon Windsor Funeral Home,https://www.carmonfuneralhome.com/obituaries/obituary-listings,"Confirmed highly productive 2026-09-10 (11 current matches, incl. Aldor William Therian Jr., Balbir Sokhey); use the site's Location filter to isolate Windsor. Carmon Poquonock Funeral Home (same company) also serves Windsor's Poquonock section. See skills/death-notices.md"
Suffield,Nicholson & Carmon Funeral Home,https://www.carmonfuneralhome.com/obituaries/obituary-listings,"Confirmed productive 2026-09-10 (Jane M. Sheridan, Florence W. Egan, Jonathan Kyle Hansen, all of Suffield/West Suffield); use Legacy.com's Suffield local aggregator page. See skills/death-notices.md"
Suffield,Heritage Funeral Home (West Suffield),https://www.suffieldfuneralhome.com/obituary-listing,
Granby,Hayes-Huling & Carmon Funeral Home,https://www.carmonfuneralhome.com/obituaries/obituary-listings,"Confirmed productive 2026-09-10 (Wayne M. Dow, 'of North Granby'); use Legacy.com's Granby local aggregator page. See skills/death-notices.md"
East Granby,Hayes-Huling & Carmon Funeral Home (Granby),https://www.carmonfuneralhome.com/obituaries/obituary-listings,"No Funeral Home in Town; confirmed productive 2026-09-10 (Robert W. Latonie, 'of East Granby'), see skills/death-notices.md"
East Haven,East Haven Memorial Funeral Home,https://www.easthavenmemorial.com/obituaries/obituary-listings,"Confirmed productive 2026-09-10 (Sandra Derbacher, 'of East Haven'); use Legacy.com's East Haven local aggregator page. See skills/death-notices.md"
East Haven,Clancy-Palumbo Funeral Home & Cremation Service,https://www.clancy-palumbofuneralhome.com/obituaries/obituary-listings,"Confirmed productive 2026-09-10 (Neil Moriarty, 'of East Haven'), see skills/death-notices.md"
East Haven,Porto Funeral Homes,https://www.portofuneralhomes.net/obituaries/obituary-listings,"Confirmed productive 2026-09-10 (Kurt T. Woolley, 'of East Haven'), see skills/death-notices.md"
East Haven,Iovanne Funeral Home (New Haven),https://www.iovanne.com/obituaries/obituary-listings,"No Funeral Home in Town; also tracked for New Haven; confirmed two current East Haven matches 2026-09-10 (Carmelina Rascati, Phyllis Massimino Verdoliva), see skills/death-notices.md"
East Haven,Maresca & Sons Funeral Home (New Haven),https://www.marescafuneralhome.com/listings,"No Funeral Home in Town; also tracked for New Haven; confirmed one current East Haven match 2026-09-10 (Andrew Kardana), see skills/death-notices.md"
East Haven,Keenan Funeral Home (North Branford),https://www.keenanfuneralhome.com/obituaries,"No Funeral Home in Town; confirmed one current East Haven match 2026-09-10 (James Michael Canino), see skills/death-notices.md"
Enfield,Leete-Stevens Enfield Chapels,https://www.leetestevens.com/obituary-listing,"Own listing page confirmed empty shell (Tribute Technology) 2026-09-10; use Legacy.com/WebSearch workaround -- confirmed productive (Dennis F. Sullivan Jr.), see skills/death-notices.md"
Enfield,Browne Memorial Funeral Chapels,https://www.brownefuneralchapel.com/obituary-listing,"Confirmed empty shell (Tribute Technology) as of 2026-09-10, see skills/death-notices.md"
Enfield,East Windsor Community Funeral Home,https://www.eastwindsorfuneralhome.com/obituaries/obituary-listings,"No Funeral Home in Town; own listing page empty shell, use Legacy.com/WebSearch workaround; confirmed one current Enfield match 2026-09-10 (Olivia Marie Shaw), see skills/death-notices.md"
Ellington,Burke-Fortin Funeral Home (Vernon),https://smallandpietrasfuneralhome.com/runtime.php?SiteId=14689&NavigatorId=103026&ListType=past,"No Funeral Home in Town; site returned 502 on 2026-08-21, see skills/death-notices.md"
Ellington,"Somers Funeral Home (Somers, Leete-Stevens)",https://www.leetestevens.com/obituary-listing,"No Funeral Home in Town; low-yield for Ellington, see skills/death-notices.md"
Ellington,Ladd-Turkington & Carmon Funeral Home (Vernon),https://www.carmonfuneralhome.com/obituaries/obituary-listings,"No Funeral Home in Town; confirmed productive 2026-09-10 (Kevin Paul Porter), see skills/death-notices.md"
Ellington,Holmes-Watkins Funeral Home,https://www.holmeswatkins.com/obituaries,No Funeral Home in Town
Ellington,John F. Tierney Funeral Home (Manchester),https://www.tierneyfuneralhome.com/obituaries/obituary-listings,"No Funeral Home in Town; confirmed productive 2026-09-10 (Mark Barkasy Sr., via Legacy.com), see skills/death-notices.md"
Somers,Somers Funeral Home (Leete-Stevens),https://www.leetestevens.com/obituary-listing,"Listing page returns only template placeholders ({name}, {date}) via WebFetch, no server-side content; confirmed productive via WebSearch instead 2026-09-11 (Donna K. (Bridge) Bailey, 71, 'of Somers, CT', died 2026-04-20). See skills/death-notices.md"
Oxford,Miller-Macari Family Funeral Home (Seymour),https://www.millermacarifh.com/obituaries,No Funeral Home in Town
Oxford,Adzima Funeral Home (Derby),https://www.adzimafh.com/obituary-listing,No Funeral Home in Town
Windsor Locks,Windsor Locks Funeral Home & Crematory (Leete-Stevens),https://www.leetestevens.com/obituary-listing,"Own listing page confirmed broken (unfilled {name} template) 2026-09-10; use Legacy.com's Windsor Locks local aggregator page as workaround -- confirmed productive (Elizabeth G. Rockwell, Donna M. Starkey, Cyril E. Roy, all 'of Windsor Locks'), see skills/death-notices.md"
East Windsor,East Windsor Community Funeral Home (formerly Bassinger & Dowd),https://www.eastwindsorfuneralhome.com/obituaries/obituary-listings,"Cloudflare-blocked for curl, renders via claude-in-chrome; confirmed productive 2026-09-10 (Diane L. Tracy, 'of East Windsor'), see skills/death-notices.md"
East Windsor,Nicholson & Carmon Funeral Home (Suffield),https://www.carmonfuneralhome.com/obituaries/obituary-listings,
East Windsor,Leete-Stevens Enfield Chapels,https://www.leetestevens.com/obituary-listing,
Branford,W.S. Clancy Memorial Funeral Home,https://www.wsclancy.com/obituaries/obituary-listings,
Branford,Keenan Funeral Home (North Branford),https://www.keenanfuneralhome.com/obituaries,"No Funeral Home in Town; also tracked for East Haven; confirmed one current Branford match 2026-09-10 (William C. Raccio Jr.), see skills/death-notices.md"
Branford,North Haven Funeral Home,https://www.northhavenfuneral.com/obituaries,"No Funeral Home in Town; confirmed one current Branford match 2026-09-10 (Edward J. Maloney Jr.), see skills/death-notices.md"
Branford,Guilford Funeral Home,https://www.guilfordfuneralhome.com/obituaries/obituary-listings,"No Funeral Home in Town; listing page renders real content (not an empty shell); confirmed one current Branford match 2026-09-10 (John Andrew Hull), see skills/death-notices.md"
New Haven,Celentano Funeral Home,https://www.celentanofuneralhome.com/listings,
New Haven,Maresca & Sons Funeral Home,https://www.marescafuneralhome.com/listings,
New Haven,"Iovanne Funeral Home, Inc.",https://www.iovanne.com/obituaries/obituary-listings,
New Haven,Colonial Funerals LLC (Hamden),https://obituaries.colonialfunerals.com,"No Funeral Home in Town; confirmed three current New Haven matches 2026-09-10 (Annie Jones, Toby Sumrell, Consuela Denosa Laurent), see skills/death-notices.md"
New Haven,Peter H. Torello & Son Funeral Home (Hamden),https://www.torellofh.com/obituaries,"No Funeral Home in Town; confirmed one current New Haven match 2026-09-10 (Jose Nunez Quezada), see skills/death-notices.md"
New Haven,McClam Funeral Home,https://www.mcclamfuneralhome.net/obituaries,"Not yet body-text confirmed -- site truncates obituary text behind a 'View More' that would not expand 2026-09-10; two candidates (Dwayne Greene, John Belton Sr.) carried only a Legacy.com page-tag of 'New Haven,' not a verified body statement. See skills/death-notices.md"
Danbury,Cornell Memorial Funeral Home,https://www.cornellmemorial.com/obituaries/obituary-listings,"Confirmed empty shell as of 2026-09-10, see skills/death-notices.md"
Danbury,Jowdy Kane Funeral Home,https://www.jowdykanefuneralhome.com/listings,"Confirmed productive 2026-09-10, see skills/death-notices.md"
Danbury,Danbury Memorial Funeral Home,https://www.danburymemorial.com/,"Corrected URL 2026-09-10 -- old /listings URL 404s; homepage links out to obituaries on a separate danburymemorial-new.secure.tributecenteronline.com subdomain, see skills/death-notices.md"
Danbury,Hull Funeral Home,https://www.hullfuneralservice.com/listings,"Listing confirmed stale as of 2026-09-10 (all entries dated 2024), see skills/death-notices.md"
Bethel,Bethel Funeral Home,https://www.hullfuneralservice.com/listings,"Listing appears stale as of 2026-08-19 (newest entry Jan 2025), see skills/death-notices.md"
Bethel,Cornell Memorial Funeral Home (Danbury/Bethel branch),https://www.cornellmemorial.com/obituaries/obituary-listings,"Listing page empty shell, but individual permalinks work (find via Legacy.com/WebSearch); confirmed one current Bethel match 2026-09-10 (Robert Joseph Legnard), see skills/death-notices.md"
Bethel,Jowdy Kane Funeral Home (Danbury),https://www.jowdykanefuneralhome.com/listings,
Brookfield,Brookfield Funeral Home (Cornell Memorial),https://www.cornellmemorial.com/obituaries/obituary-listings,"Own listing page confirmed empty shell (Tribute Technology) as of 2026-09-08; use Legacy.com/WebSearch syndication workaround instead -- confirmed productive again 2026-09-10 (John William Lucas, David John Barese), see skills/death-notices.md"
Monroe,Spadaccino and Leo P. Gallagher & Son Community Funeral Home,https://www.dignitymemorial.com/obituaries?locationcode=7075,
Southbury,Carpino Funeral Home,https://www.carpinofuneralhome.com/obituaries/obituary-listings,
Southbury,Munson-Lovetere Funeral Home,https://www.munsonloveterefuneralhome.com/obituaries,
Weston,"Bouton Funeral Home (Georgetown, Wilton)",https://www.boutonfuneralhome.com/obituaries,No Funeral Home in Town
Redding,"Bouton Funeral Home (Georgetown, Wilton)",https://www.boutonfuneralhome.com/obituaries,"No Funeral Home in Town; confirmed highly productive 2026-09-10 -- four current Redding matches in one send, see skills/death-notices.md"
Redding,Dignity Memorial (Danbury-area listing),https://www.dignitymemorial.com/obituaries/danbury-ct,"No Funeral Home in Town; town-tagged aggregate page, not a single funeral home; confirmed productive 2026-09-10 -- two current Redding matches, see skills/death-notices.md"
Redding,Jowdy Kane Funeral Home (Danbury),https://www.jowdykanefuneralhome.com/listings,No Funeral Home in Town
Easton,"Spadaccino and Leo P. Gallagher & Son Community Funeral Home (Monroe, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=7075,"No Funeral Home in Town; confirmed productive 2026-09-10 -- two current Easton matches (Edward P. Higgins, Joanne Raymond), see skills/death-notices.md"
Easton,Abriola Parkview Funeral Home (Trumbull),https://abriola.com/tribute/all-services/index.html,No Funeral Home in Town
Easton,Green's Funeral Home (Abraham L. Green and Son, Fairfield -- corrected from Danbury 2026-09-08),https://www.greensfuneralhome.com/obituaries/obituary-listings,"No Funeral Home in Town; confirmed empty shell as of 2026-09-08 (Cloudflare/rendering issue via both curl and browser), see skills/death-notices.md"
Fairfield,Spear-Miller Funeral Home,https://www.spearmillerfuneralhome.com/obituaries,
Fairfield,Larson Funeral Home,https://www.larsonfh.com/obituaries/obituary-listings,"Confirmed productive 2026-09-11 (Gillian Blake Colhoun, 'of Fairfield'); renders fine via browser, not actually Cloudflare-blocked. Same address (1209 Post Rd.) as Parente below and Westport's Lesko row -- likely the same physical facility under different funeral-director names. See skills/death-notices.md"
Fairfield,Frank Polke & Son Funeral Home,https://www.frankpolkeandsonfuneralhome.com/listings,"Confirmed productive 2026-09-11 (Costica Nedelcuta and Patricia Goyette, both 'of Fairfield'); renders fine via browser with full excerpt text on the listing page itself, no click-through needed. See skills/death-notices.md"
Fairfield,Parente Funeral Home,https://www.parentefuneralhome.com/obituaries/obituary-listings,"Confirmed productive 2026-09-11 (Paula (Flanagan) Julian, 'of Fairfield'); renders fine via browser. Same address (1209 Post Rd.) as Larson above and Westport's Lesko row -- likely the same physical facility under different funeral-director names. See skills/death-notices.md"
Fairfield,Daystar Cremation Service,https://www.daystarcremation.com/obituaries,"Renders via browser after a longer wait/scroll (Tukios), but listing is stale -- newest post as of 2026-09-11 dated March 2026. One candidate checked (Miyoko Burr) was a Norwalk resident. See skills/death-notices.md"
Newtown,Honan Funeral Home,https://www.honanfh.com/newtown-ct-obituaries,"Confirmed empty shell as of 2026-09-08, see skills/death-notices.md"
Newtown,Dignity Memorial (Danbury-area listing),https://www.dignitymemorial.com/obituaries/danbury-ct,"CSV gap fix: already tracked for Redding but never for Newtown; confirmed four current Newtown matches 2026-09-08, see skills/death-notices.md"
Wilton,Bouton Funeral Home (Georgetown),https://www.boutonfuneralhome.com/obituaries,
Wilton,Collins Funeral Home (Norwalk),https://www.collinsfh.com/obits,"Neighboring-town source; historically productive for Wilton, but watch for a false-positive phrasing pattern -- 'beloved [spouse] of [Spouse Name] of Wilton' attributes the town to the spouse, not the deceased, see skills/death-notices.md"
Westport,Harding Funeral Home,https://www.hardingfuneral.com/obituaries/obituary-listings,
Westport,Lesko Funeral Home,https://leskofuneralhome.com/44/Obituaries.html,"Physically located in Fairfield despite serving Westport; listing page broken/unreliable, see skills/death-notices.md"
Westport,Spear-Miller Funeral Home (Fairfield),https://www.spearmillerfuneralhome.com/obituaries,"No Funeral Home in Town; confirmed productive 2026-09-11 (Katherine Christopher Caulfield, 'a longtime resident of Westport, Connecticut' for 46 years), see skills/death-notices.md"
Vernon,Burke-Fortin Funeral Home,https://smallandpietrasfuneralhome.com/runtime.php?SiteId=14689&NavigatorId=103026&ListType=past,"Site returning 502 as of 2026-08-21, see skills/death-notices.md"
Vernon,Ladd-Turkington & Carmon Funeral Home,https://www.carmonfuneralhome.com/obituaries/obituary-listings,
Vernon,Holmes-Watkins Funeral Home (Manchester),https://www.holmeswatkins.com/obituaries,No Funeral Home in Town
Tolland,Tolland Memorial Funeral Home,https://smallandpietrasfuneralhome.com/Tolland_Memorial_218322.html,"Site returning 502 as of 2026-08-21, same domain as Burke-Fortin, see skills/death-notices.md"
Tolland,Ladd-Turkington & Carmon Funeral Home (Vernon),https://www.carmonfuneralhome.com/obituaries/obituary-listings,No Funeral Home in Town
Tolland,John F. Tierney Funeral Home (Manchester),https://www.tierneyfuneralhome.com/obituaries/obituary-listings,No Funeral Home in Town
Stafford,"Introvigne Funeral Home, Inc.",https://www.introvignefuneralhome.com/obituaries/,"Cloudflare-blocked for curl, but WebFetch gets through fine; confirmed productive 2026-09-11 (Dorothy 'Dottie' P. Cheman, 87, 'resident of Stafford, CT', died 2026-08-30); same listing page also carries the Tolland row below. See skills/death-notices.md"
Willington,"Introvigne Funeral Home, Inc. (Stafford Springs)",https://www.introvignefuneralhome.com/obituaries/,No Funeral Home in Town
